City,State/Province,Country/Retion,Latitude,Longitude,Class Year,Class Year Date
Kaohsiung City,,Taiwan,,,2017,1/1/2017
Kowloon,,Hong Kong,,,2017,1/1/2017
Kunming,,China,,,2018,1/1/2018
Langfang,,China,,,2009,1/1/2009
Lanzhou,,China,,,2014,1/1/2014
Lanzhou,,China,,,2018,1/1/2018
Lianyungang,,China,,,2012,1/1/2012
Liaoning,,China,,,2011,1/1/2011
Luzhou,,China,,,2017,1/1/2017
Nanjing,,China,,,2005,1/1/2005
Nanjing,,China,,,2008,1/1/2008
Nanjing,,China,,,2009,1/1/2009
Nanjing,,China,,,2009,1/1/2009
Nanjing,,China,,,2009,1/1/2009
Nanjing,,China,,,2010,1/1/2010
Nanjing,,China,,,2010,1/1/2010
Nanjing,,China,,,2010,1/1/2010
Nanjing,,China,,,2011,1/1/2011
Nanjing,,China,,,2011,1/1/2011
Nanjing,,China,,,2011,1/1/2011
Nanjing,,China,,,2012,1/1/2012
Nanjing,,China,,,2012,1/1/2012
Nanjing,,China,,,2014,1/1/2014
Nanjing,,China,,,2014,1/1/2014
Nanjing,,China,,,2017,1/1/2017
Nanjing,,China,,,2020,1/1/2020
Nanjing City,,China,,,2015,1/1/2015
Nantong,,China,,,2013,1/1/2013
Nantong,,China,,,2015,1/1/2015
Nantong,,China,,,2016,1/1/2016
Ningbo,,China,,,2011,1/1/2011
Ningbo,,China,,,2014,1/1/2014
Province,,China,,,2010,1/1/2010
Qingdao,,China,,,2010,1/1/2010
Qingdao,,China,,,2014,1/1/2014
Qingdao,,China,,,2018,1/1/2018
Shanghai,,China,,,2000,1/1/2000
Shanghai,,China,,,2000,1/1/2000
Shanghai,,China,,,2002,1/1/2002
Shanghai,,China,,,2002,1/1/2002
Shanghai,,China,,,2003,1/1/2003
Shanghai,,China,,,2004,1/1/2004
Shanghai,,China,,,2005,1/1/2005
Shanghai,,China,,,2006,1/1/2006
Shanghai,,China,,,2007,1/1/2007
Shanghai,,China,,,2007,1/1/2007
Shanghai,,China,,,2009,1/1/2009
Shanghai,,China,,,2009,1/1/2009
Shanghai,,China,,,2009,1/1/2009
Shanghai,,China,,,2010,1/1/2010
Shanghai,,China,,,2010,1/1/2010
Shanghai,,China,,,2011,1/1/2011
Shanghai,,China,,,2011,1/1/2011
Shanghai,,China,,,2012,1/1/2012
Shanghai,,China,,,2013,1/1/2013
Shanghai,,China,,,2013,1/1/2013
Shanghai,,China,,,2014,1/1/2014
Shanghai,,China,,,2014,1/1/2014
Shanghai,,China,,,2014,1/1/2014
Shanghai,,China,,,2014,1/1/2014
Shanghai,,China,,,2014,1/1/2014
Shanghai,,China,,,2014,1/1/2014
Shanghai,,China,,,2016,1/1/2016
Shanghai,,China,,,2016,1/1/2016
Shanghai,,China,,,2017,1/1/2017
Shanghai,,China,,,2017,1/1/2017
Shanghai,,China,,,2017,1/1/2017
Shanghai,,China,,,2017,1/1/2017
Shanghai,,China,,,2017,1/1/2017
Shanghai,,China,,,2017,1/1/2017
Shanghai,,China,,,2018,1/1/2018
Shanghai,,China,,,2018,1/1/2018
Shanghai,,China,,,2018,1/1/2018
Shanghai,,China,,,2019,1/1/2019
Shanghai,,China,,,2019,1/1/2019
Shanghai,,China,,,2019,1/1/2019
Shanghai,,China,,,2019,1/1/2019
Shanghai,,China,,,2019,1/1/2019
Shanghai,,China,,,2020,1/1/2020
Shanghai,,China,,,2020,1/1/2020
Shanghai City,,China,,,2015,1/1/2015
Shantou,,China,,,2013,1/1/2013
Shenyang,,China,,,2000,1/1/2000
Shenyang,,China,,,2008,1/1/2008
Shenyang,,China,,,2011,1/1/2011
Shenyang,,China,,,2013,1/1/2013
Shenyang,,China,,,2014,1/1/2014
Shenyang,,China,,,2016,1/1/2016
Shenyang,,China,,,2017,1/1/2017
Shenyang,,China,,,2018,1/1/2018
Shenyang,,China,,,2018,1/1/2018
Shenzhen,,China,,,2007,1/1/2007
Shenzhen,,China,,,2008,1/1/2008
Shenzhen,,China,,,2011,1/1/2011
Shenzhen,,China,,,2012,1/1/2012
Shenzhen,,China,,,2013,1/1/2013
Shenzhen,,China,,,2013,1/1/2013
Shenzhen,,China,,,2014,1/1/2014
Shenzhen,,China,,,2014,1/1/2014
Shenzhen,,China,,,2014,1/1/2014
Shenzhen,,China,,,2015,1/1/2015
Shenzhen,,China,,,2016,1/1/2016
Shenzhen,,China,,,2017,1/1/2017
Shenzhen,,China,,,2018,1/1/2018
Shenzhen,,China,,,2018,1/1/2018
Shenzhen,,China,,,2019,1/1/2019
Shenzhen,,China,,,2019,1/1/2019
